	User	Date Created	Number of Likes	Source of Tweet	Tweet	Location
3493	followMayowa	2022-03-22 08:13:29+00:00	2	Twitter for Android	"Just from an interview at @DIYlawNG some years ago, I was so sure the owners aren't #HorribleBosses 

There are great bosses"	Lagos, Nigeria
3494	ezeaccountant80	2022-03-22 08:13:27+00:00	1	Twitter for iPhone	"The Eastern part of Nigeria is the Most Commercial part of the federation.
But Anambra State happens to be the Heart and Headquarters of this Power Region ....
What does that tell you?

Daniel Emeka |Obi Cubana |#HorribleBosses |David Hundeyin |Kiki| #bbnaija https://t.co/zmmKfLwtOs"	Lagos, Nigeria
3495	naholegnd	2022-03-22 08:13:26+00:00	3	Twitter for Android	"Why are some of ya all surprised that some #HorribleBosses ask their employees to knell. 😂 
County hard and some don't have a choice but obey at the end of that month they get paid. Life continue 🤲"	Earth 
3496	femistorystory	2022-03-22 08:13:22+00:00	0	Twitter Web App	It is the sad reality of Nigeria that anyone with small power must be a tyrant over others. Even in the play ground #HorribleBosses #tyranny https://t.co/B5MMCZyeyy	Windy City, Illinois!
3497	FemiOyedun1	2022-03-22 08:13:18+00:00	0	Twitter Web App	There are no bad companies, but there are bad bosses and terrible team leads. #HorribleBosses	Lagos, Nigeria
3498	Santobigger	2022-03-22 08:13:09+00:00	0	Twitter for Android	#HorribleBosses #Ukraine #SanditonWatchalong #santobigger https://t.co/R85uIfkFXf	Federal Capital Territory, Nig
3499	callieokwu	2022-03-22 08:13:08+00:00	1	GreatCallieApps	"Dollar pauses, yen near six:year lows as Ukraine crisis weighs - REUTERS
 https://t.co/4Z3kyz4znQ
 #HorribleBosses Ebun IT IS DONE #ElClasico #MondayMotivation #NSPPD Xavi Southern Kaduna Auba Barca"	Nigeria
3500	tos2fame	2022-03-22 08:13:06+00:00	2	Twitter Web App	"🤔😏 What if Dr. @NOIweala decides to run for the President of this country?
Thinking loud David Hundeyin Obi Kubana Made in Lagos #HorribleBosses #EndSARS Nigeria Buharists"	Lagos
3501	Empress_Jully	2022-03-22 08:13:01+00:00	0	Twitter for iPhone	Ladles enh even Nigeria is a toxic country.......let’s leave the country for them ✌🏼#HorribleBosses	Lagos, Nigeria
3502	sultanofAba	2022-03-22 08:13:00+00:00	31	Twitter for Android	"I have never worked for anybody before, I have always been my own boss, I have never been/or be a horrible boss,if I had worked for one of these crazy ass bosses, I would have been in jail for man slaughter.
#HorribleBosses"	MY PALACE 
3503	Anabeeofficial	2022-03-22 08:12:55+00:00	1	Twitter for Android	"A black ugly monster with horns and long teeth...that's the picture our elders portrayed to be ""SATAN"" the devil. have you seen the devil, do you know it's gender? Could even be a Disney princess kinda🤔
#HorribleBosses Obi Cubana #BBNaija"	
3504	skylexthor	2022-03-22 08:12:37+00:00	0	Twitter Web App	"@SoccerFan_io #isola #HorribleBosses #KOFXV 
Great project"	Abuja Nigeria 
3505	ayopoe_	2022-03-22 08:12:30+00:00	2	Twitter for iPhone	Stand up meeting addressing #HorribleBosses matter, love to see it.	
3506	novieverest	2022-03-22 08:12:26+00:00	0	Twitter Web App	"People that don't cook at home end up buying amala for the boss and washing plates after the boss is done eating.

This world.
#HorribleBosses"	Nigeria
3507	Anotibaba	2022-03-22 08:12:21+00:00	20	Twitter for Android	Unpopular Opinion: You don't have trust issues, you have gained a lot of experience to know that people are not to be trusted. #HorribleBosses	Nidevellir 
3508	cruisebaba	2022-03-22 08:12:10+00:00	1	Twitter for Android	"After seeing all the #HorribleBosses  stories, omo I'm thankful my bosses don't stress me at all. Just do your job competently and no issues. Plus very understanding people. Never been insulted or shouted at. 

Na employment scarcity cos these things. It is well."	Hidden Leaf
3509	stechitegist	2022-03-22 08:12:08+00:00	3	Twitter for Android	#HorribleBosses https://t.co/AbCMTNeKRS	Lagos State
3510	TheLydiaLadej	2022-03-22 08:12:07+00:00	1	Twitter for iPhone	My goodness! This is it. I detest this with everything in me. If you are going to make me feel like you are doing me some sort of favor by employing me, please by all means, keep your job. God bless. #HorribleBosses https://t.co/tXCjKuEnVd	Satisfying my wanderlust 😌
3511	SimplyAzodo	2022-03-22 08:12:03+00:00	7	Twitter for Android	"You
Can
Be 
Intense
And 
Kind.

#HorribleBosses"	Internet
3512	MojiradeAbiola	2022-03-22 08:11:54+00:00	0	Twitter for iPhone	I was working for somebody In Ekiti,Ado to be precise as a fashion manager,baba didn’t pay me the 10k he’s owing me up till now…Posh D’puchini under my foot…fake ass guy #HorribleBosses	Akure, Nigeria
3513	Bolajigelax	2022-03-22 08:11:50+00:00	1	Twitter for Android	"Not @joytothewords_ @sugargirltobe @ChuGailx choosing violence this morning 😂
#HorribleBosses"	On Your Screen & Radio
3514	DamolaAdebisi2	2022-03-22 08:11:50+00:00	1	Twitter for Android	#HorribleBosses worked with 4 different bosses, they are horrible, self centered including a husband and wife, brought business for them shishi Dem no give me,The funniest thing is they are all christians and a strong member of rccg. If u see them on Sunday you won't believe	Lagos, Nigeria
3515	stechitegist	2022-03-22 08:11:44+00:00	1	Twitter for Android	#HorribleBosses https://t.co/XAAau9te76	Lagos State
3516	skylexthor	2022-03-22 08:11:41+00:00	0	Twitter Web App	"@SoccerFan_io Lovely project
#BahrainGP #ONEPIECE1044 #HorribleBosses"	Abuja Nigeria 
3517	sanemind5	2022-03-22 08:11:34+00:00	0	Twitter Web App	"Get recent Movies in external hard drive playable on your TVs and Laptops.
call or whatsapp: 08153783106

David Hundeyin/President Buhari/#HorribleBosses/Speed Darlington/Iyin/She Leads Africa/Lebanese/Obi Cubana/Valhalla/Daniel Emeka/CEOs/#BBNaija/Yorubas/Beat FM/Imo State https://t.co/ytnXKzmIsL"	Port Harcourt
3518	chief_ojiji	2022-03-22 08:11:26+00:00	1	Twitter for Android	"Buhari is a toxic Boss!

#HorribleBosses"	chief's world Abuja, Nigeria
3519	NFTpartnerz	2022-03-22 08:11:20+00:00	2	Twitter for iPhone	"You will understand a different level of trick kidnappers use when you see the inner door opener broken… Avoid such

Retweet to save a life 

#BBNaija | #NugaUnilag2022 |  #HorribleBosses https://t.co/wralHXLGN7"	NTFDomain
3520	MaureenOshio	2022-03-22 08:11:09+00:00	9	Twitter for iPhone	Normalise speaking out when you are being cheated #HorribleBosses	Lagos, Nigeria
3521	SamBethenason	2022-03-22 08:11:07+00:00	4	Twitter for iPhone	"I should resign a job it took me 5 years to get to protect my mental health for this Buhari government? Shey you Dey whine cultist? Shey na my mental health I go chop? Please don’t quit your job without a better replacement! 

#HorribleBosses | Ebun | Daniel Emeka | Iyin"	Big Brother House
3522	ojaysix	2022-03-22 08:11:03+00:00	4	Twitter for iPhone	What you see playing out with the #HorribleBosses trend is the fact that the slave master/oppressor mentality is deep rooted in all our institutions be it offices,start ups or religious groups. It must die first before we talk of nation building. We are generally horrible!	Lagos, Nigeria
3523	_Sheyila_	2022-03-22 08:11:01+00:00	4	Twitter for iPhone	"I took the bold step last week Saturday. 😭🙏🏾🙏🏾

#HorribleBosses https://t.co/dEx5bB3x8O"	X.Tvl
3524	mimi__mac	2022-03-22 08:10:44+00:00	3	Twitter for iPhone	I am even too ashamed and scared to talk about my #HorribleBosses experience, I don leave am for God hand.. But my prayer is everything that man put me through, his daughters will pay the price. InshaAllah	Lagos, Nigeria
3525	Sarfoc19	2022-03-22 08:10:38+00:00	0	Twitter for Android	Organised meetings only on Saturday meanwhile that same meeting can be held on weekdays. #HorribleBosses	Accra
3526	nemidesigns	2022-03-22 08:10:27+00:00	10	Twitter for iPhone	"Some of us build brick by brick… 
Small wins keeps us pushing, we will eventually get there…
A little step closer to my dreams…
#OAUTwitter #motivation #HorribleBosses #inspirational https://t.co/WwNrEp5nls"	Ile-ife, Nigeria
3527	TheOnlyBHP	2022-03-22 08:10:19+00:00	0	Twitter for Android	"https://t.co/BTBLJMsWlG

#HorribleBosses Ebun #MondayMotivation #ElClasico Daniel Emeka #Ravendex Auba Xavi #tuesdaymotivations Barca"	Universal
3528	Clear_It_9ja	2022-03-22 08:10:18+00:00	10	Twitter for iPhone	"2012 Toyota Venza cleared and deliver by us. Kindly Patronize us today!

#HorribleBosses  #NSPPD  David Hundeyin | President buhari | Akin | Kiki | ebun | It is done | Southern kaduna | Obi Cubana | CEOs | What God | Portable | Boeing 737 |  Corp https://t.co/6GzbexhQVi"	Lagos, Nigeria
3529	rozaeymoney	2022-03-22 08:10:17+00:00	1	Twitter for Android	When you are employed as a contract staff and given assurance of being a full staff after 6months....just know it's a lie from the Pit of Hell😔#HorribleBosses	
3530	AdeyinkaO_Esq	2022-03-22 08:10:00+00:00	10	Twitter for Android	"An employer (law firm) once deducted 5k from a staff's salary (lawyer) for not replying WhatsApp message on time.

PS: the message was for a personal errand in the market. 🤧
#HorribleBosses https://t.co/6FHk5K18Cs"	Abuja
3531	FIERCE_ENT	2022-03-22 08:09:56+00:00	5	Twitter for Android	"#HorribleBosses Do you think if you get rich today that you would be a ""Horribble boss""? If you won't why and what do you think make other bosses horrible. 
Let's hear your points 👇👇👇"	
3532	lotana_ACA	2022-03-22 08:09:46+00:00	0	Twitter for iPhone	"Those days when I will force myself to climb approximately 60-80 feet’s tank so that toxicity will not kill my dreams 
Or 
When I got fired because I refused to travel to a country/location that was at war with terrorism. 
#HorribleBosses"	Nigeria
3533	_weyimi	2022-03-22 08:09:44+00:00	4	Twitter for iPhone	"I thought slavery ended 600years ago,so how dare you verbally abuse and harass your employees.

These guys literally want to make life easy for you, they show up despite day to day inconvenience

If you can’t respect them,
take back your stupid job and get lost!

 #HorribleBosses"	Somewhere in the 7th heaven
3534	okoli_ikedi	2022-03-22 08:09:38+00:00	1	Twitter for Android	"#HorribleBosses
Guy why you come church early like this?
You kan charge abi? https://t.co/sMPHPmFyVN"	Lagos, Nigeria
3535	NaijaPidgin_	2022-03-22 08:09:36+00:00	14	Twitter for iPhone	"Make we follow Kiki and David Hundeyin. Den on our notifications. 

Very important 
 #HorribleBosses"	Metaverse
3536	olowo_dammy	2022-03-22 08:09:35+00:00	4	Twitter for Android	This is the problem of our society ,everyone want to exploit you,bosses want to exploit their staff ,employees want to exploit their bosses. Average Nigerian if not monitor are ready to run down the organisation they work in for personal gains. #HorribleBosses	GLOBAL
3537	Matriach_	2022-03-22 08:09:35+00:00	0	Twitter for iPhone	"The wolf of Wall Street thought me a lot about employer and employee relationships , if your employees are happy and you treat them right 
they’ll perform better and would be willing to help the company to greater heights #HorribleBosses"	Metaverse
3538	frosting_cakes_	2022-03-22 08:09:33+00:00	0	Twitter for iPhone	PS: you work everyday Monday to Sunday. New year, Christmas… every single day.. I hope they have changed #HorribleBosses	Nigeria
3539	frosting_cakes_	2022-03-22 08:09:33+00:00	0	Twitter for iPhone	Refused me going to the hospital. That is a mall for Christ sake, there are security guards, there was an alternative for someone to be at your work place but no, they did not care. This is just a tip of all the stuffs that happens there #HorribleBosses	Nigeria
3540	frosting_cakes_	2022-03-22 08:09:32+00:00	0	Twitter for iPhone	Company. The drive from the production to the outlet is not up to 30mins, these people took 3hrs to come and told them to leave me there, that who will be at the outlet (for God sake I was on the floor lifeless) customers raking that they #HorribleBosses	Nigeria
3541	OREKIYA	2022-03-22 08:09:32+00:00	0	Twitter for Android	@OluwaseunLijoka @HenshawKate Though it's easier said than done, but I totally agree 👍 #HorribleBosses	United Kingdom
3542	frosting_cakes_	2022-03-22 08:09:32+00:00	0	Twitter for iPhone	Was moved to one of their outlet, got worst complains from 80% their sales rep. They make their staffs work as slaves. I collapsed one day at work, I was the only one at the outlet, people rushed in came to help me and started calling the  #HorribleBosses	Nigeria
3543	frosting_cakes_	2022-03-22 08:09:31+00:00	0	Twitter for iPhone	Them. When I was working at the production, I got a lot of complains from staffs, but these people could not speak up because they were scared of being jobless, so they decided to stay there, suffer and work. I thought that was all until I  #HorribleBosses	Nigeria
3544	bfresh416	2022-03-22 08:09:31+00:00	1	Twitter for Android	Liam Hotel osogbo is top on this list...#HorribleBosses	Your device 
3545	frosting_cakes_	2022-03-22 08:09:29+00:00	0	Twitter for iPhone	ur hard work is in trash. it was so bad that every week staffs leaves the company.they paint it to your face that  they are God over you, you have no where to go to, if you leave you will not see any other work therefore you will run back to #HorribleBosses	Nigeria
3546	frosting_cakes_	2022-03-22 08:09:28+00:00	0	Twitter for iPhone	Good at deducting your salary at any Little opportunity.. their Business manager (BM) made the whole thing worst.. people started leaving the company because they were so tired of working in bondage.. no matter how hard working you are, #HorribleBosses	Nigeria
3547	frosting_cakes_	2022-03-22 08:09:27+00:00	2	Twitter for iPhone	I worked with this cake company in portharcourt, that was the worst thing I could ever do to my self. human management ❌❌ they don’t care if you are dying, all they know is work work work, you only have 2 days off in a month, they were very #HorribleBosses	Nigeria
3548	nanarekiya	2022-03-22 08:09:24+00:00	1	Twitter for Android	After working for 4years with salary less than 80k i just discovered the new expatriate that has  zero knowledge about the workings is being paid 1.8m depending on the exchange rate #HorribleBosses	Nigeria
3549	niyionanubi	2022-03-22 08:09:20+00:00	0	Twitter for Android	... the fear of loss of income and the dread of 'where will I see another job' in Nigeria is the primal reason why people shrink, allow and put up with the multifaceted forms abuse from #HorribleBosses	Lagos, Nigeria
3550	Iam_Misola	2022-03-22 08:09:16+00:00	3	Twitter Web App	"This won't go away in my head for a while. It is here to stay even though no be me receive the mail. 

You mentioned my papa, walai talai, aye e ti baje already!  #HorribleBosses https://t.co/m9jcvaJycz"	Hustling in Lagos
3551	odalo_iboi	2022-03-22 08:09:00+00:00	2	Twitter for Android	Let's talk about the bosses who see demeanor and Charisma as a threat. You dress neatly with the little salary paid to you, they believe you are stealing from them you are so smart they make you work under dumb people purposely.  #HorribleBosses	Abuja
3552	The0pistis	2022-03-22 08:08:40+00:00	1	Twitter for Android	"The #HorribleBosses thread is giving me shock waves in exponential decibels.
How do you make someone dance to Yemi Alade during an interview?
Can't wrap my mind around it.
Nah!🤦‍♀️"	Holy Nation
3553	DameSarah_	2022-03-22 08:08:32+00:00	0	Twitter for Android	"#HorribleBosses
On horrible bosses, I have seen and worked with the worst and I pray they change. But I must confess that the experiences have made me become a better person as it provoked me to take out time to work on my mental health wellness."	Lagos, Nigeria
3554	i_koye	2022-03-22 08:08:28+00:00	0	Twitter for iPhone	After reading these stories, my boss is a rare gem, I’m happy to be working for him #HorribleBosses	Lagos, Nigeria
3555	Portableglow	2022-03-22 08:08:25+00:00	163	Twitter for iPhone	"I worked as online sales strategist at AvcorEvents for a few months and this is what I have to say about my boss; Dimma. @AVCOREvents 

#HorribleBosses https://t.co/vPdw9z6Y8Q"	
3556	TheOnlyBHP	2022-03-22 08:08:25+00:00	0	Twitter for Android	"https://t.co/AwIfB3sEQn

#HorribleBosses Ebun #MondayMotivation #ElClasico Daniel Emeka #Ravendex Auba Xavi #tuesdaymotivations Barca"	Universal
3557	naholegnd	2022-03-22 08:08:21+00:00	3	Twitter for Android	Some #HorribleBosses will emotionally blackmail you then act like nothing ever happened. Then expect you to maintain	Earth 
3558	alsameerasani	2022-03-22 08:08:20+00:00	3	Twitter for Android	"#HorribleBosses is why I need you to patronize my business.
I am skincare and I also sell original supplements. https://t.co/YYj8lDnSwV"	Lagos, Nigeria
3559	CoolZiggy1	2022-03-22 08:08:09+00:00	1	Twitter for iPhone	Its just so sad how terrible people make others become like them through bad experiences in the workplace. We need to change the narratives #HorribleBosses	Lagos. Nigeria
3560	taaeewoo	2022-03-22 08:08:07+00:00	0	Twitter for iPhone	When we are ready we would open another can of worm 🪱 on this #HorribleBosses I dey come	Everywhere!!!
3561	The_Vera_	2022-03-22 08:07:59+00:00	8	Twitter for iPhone	"On the palava of #HorribleBosses 
I’m grateful for the ones I’ve worked with. 
Thankfully @cudium we’re family members.
Olorun Ese because these tales… nawa🤲🏼"	
3562	tee_taryo	2022-03-22 08:07:57+00:00	0	Twitter for Android	We say there's no job in Nigeria, the little once that are trying to stay up and grow, you're there spoiling their brand name and pointing out toxic brand to stay away from. U see job u no thank God. #toxicboss #HorribleBosses TechCabal	Online
3563	oteejoe	2022-03-22 08:07:47+00:00	2	Twitter for iPhone	Let’s not hide under #HorribleBosses and not talk about the fact that some employees are devils, subtly sabotaging their work space with bad behaviors and work attitude just because the company ain’t theirs.	worldwide
3564	I_Avas	2022-03-22 08:07:33+00:00	6	Twitter for Android	"It's best to stay unemployed and find something else that can bring you money by starting up a small business that expecting one minute of hardship in a toxic workplace.

Trust me it's not worth it. 
#HorribleBosses"	"6°31'27.7644''N 3°22'45.1416""E"
3565	naholegnd	2022-03-22 08:07:19+00:00	0	Twitter for Android	Still on #HorribleBosses Human being bad 😂	Earth 
3566	Iam_belliyah	2022-03-22 08:07:13+00:00	3	Twitter for Android	"Nothing beat having your own business and being your own boss. You are in charge of your time, efforts and money.
#HorribleBosses"	Lagos, Nigeria
3567	Dorcas_Agbedeyi	2022-03-22 08:07:10+00:00	1	Twitter for Android	I'm glad that this topic #HorribleBosses will give many people clarity on how bad they've endured toxicity at work. Now, they will say goodbye.	Lagos, Nigeria 
3568	kherdheejert	2022-03-22 08:07:07+00:00	3	Twitter for iPhone	Things Dey occur sha o, this thread just made clear the reasons we have leadership problems in Nigeria, an average Nigerian is power drunk #HorribleBosses	Lagos
3569	KNOXTAINMENT	2022-03-22 08:07:07+00:00	10	Twitter Web App	"If you work at a place where salaries are owed for up to 10 months, the Lord is your strength.. 

#HorribleBosses"	Lagos, Nigeria
3570	Blaxkkade	2022-03-22 08:07:06+00:00	1	Twitter for iPhone	There is a great difference between managing the goals, mission of your business and managing your employees/workforce. I think a lot of entrepreneurs and business owners need to learn ways of pushing productivity and morale in the workplace.  #HorribleBosses	Lagos, Nigeria
3571	OfficialRitzink	2022-03-22 08:07:02+00:00	1	Twitter for Android	"Good one, indeed self discipline is needed to achieve anything.
#motivation  #HorribleBosses Kiki / Iyin / Bento / Daniel Emeka https://t.co/N2RkbZx0jZ"	
3572	STANLESSOG	2022-03-22 08:06:51+00:00	1	Twitter for Android	After all these #horriblebosses we should trend the evil and abominations carried out by Indian and Lebanese companies	Trouble town
3573	Sef_Sky	2022-03-22 08:06:50+00:00	1	Twitter for iPhone	And to think we ever thought School was a horrible place! If only we knew…#HorribleBosses	Accra, Ghana
3574	tereneslimkizz	2022-03-22 08:06:37+00:00	0	Twitter for Android	"Those kind of people are everywhere 
#HorribleBosses https://t.co/pTh3IjnGzV"	Makurdi, Nigeria
3575	jennigreatest	2022-03-22 08:06:28+00:00	0	Twitter for Android	It's always good to let them know from the very beginning that you are not a person 2 be fucked with, so everyone respects themselves. I nor dey look person face ooo, you do anyhow, I will make sure you receive double mtchew. I didn't grow up in Benin for nothing #HorribleBosses	Outer space 
3576	kenklot	2022-03-22 08:06:27+00:00	2	Twitter for Android	"@JustKingss But two weeks too much na.
If you wan avoid  #HorribleBosses wahala kuku start up something when you save small money.

My boss then will give you break, still call you 4:30am that very morning on the day of your appointment to beg to help run something for office."	Accra, Ghana
3577	popeofgrace	2022-03-22 08:06:26+00:00	2	Twitter for Android	"Yesterday 4ODDS WON ON @SportyBet✅✅✅✅✅✅🤑⚽⚽⚽

Check confirmation on 👉 https://t.co/iKOaCeeS2Q

Don't miss todays ODDS, dropping on telegram  👉 https://t.co/iKOaCeeS2Q

#HorribleBosses NYSC https://t.co/jZ1anDqquz"	📍Small Account Matters📍
3578	alsameerasani	2022-03-22 08:06:07+00:00	1	Twitter for Android	#HorribleBosses is why I need you to buy really pretty Preloved dresses from me. https://t.co/RThgSdpvCM	Lagos, Nigeria
3579	IvaMhiz	2022-03-22 08:06:04+00:00	2	Twitter for iPhone	Nationwide delivery available #horriblebosses https://t.co/k45Rkaxxr7	Abuja Nigeria 
3580	RandRpodcast_	2022-03-22 08:05:58+00:00	7	Twitter for iPhone	At what point then does being #HorribleBosses start. It would be nice to understand what you’re grateful for versus the #horrible workplace culture. https://t.co/CALOCxxBix	
3581	seun_ladun	2022-03-22 08:05:56+00:00	0	Twitter Web App	"Research and ask around before you take a new job offer. Be sure you are not running from fry pan to fire because the toxic workplace issue is a pandemic that is ravaging most organizations in Nigeria. So ask and research before you make a move.

Light &amp; Love🕊️

#HorribleBosses"	lagos nigeria
3582	groovereben	2022-03-22 08:05:51+00:00	3	Twitter for Android	"While we are calling out #HorribleBosses

Please also call out all the wicked igbo women treating their husband's omu boy and maids like slaves. 
I grew up in ladipo and I saw things 
This Oga's wives are wicked and horrible women."	Lagos Nigeria
3583	seyithemie	2022-03-22 08:05:32+00:00	3	Twitter for Android	We won't let this trend of #HorribleBosses deter us!! We will continue to call them out, apply for new jobs, meet great new bosses and grow our careers. Check subsequent posts for fresh Job vacancies! ✊	+234
3584	su_providence	2022-03-22 08:05:26+00:00	37	Twitter for iPhone	This David Hundeyin and Kiki Mordi’s feud is taking another twist. Who has the full gist from 2020 that it all began? #HorribleBosses trend is arousing a lot.	World
3585	OmojuwaTosin	2022-03-22 08:05:24+00:00	9	Twitter Web App	"#Horriblebosses trend is the sign I need to resign from my current job.
It really disheartening starting out one's carrer in a toxic work environment 
I am actually confused rn
I feel stucked"	Lagos, Nigeria
3586	jeffrey_chukz	2022-03-22 08:05:18+00:00	4	Twitter for iPhone	"I don’t want to call out one of my former boss I worked with last year, the man is even worse than Daniel Emeka, I could remember last year he vividly told me to walk under the rain and come to work.
#HorribleBosses"	Worldwide
3587	gr8Hamsol	2022-03-22 08:05:18+00:00	1	Twitter for Android	"Dorime is not for civil servants  they say

#HorribleBosses"	LASGIDI & ILORIN
3588	IvaMhiz	2022-03-22 08:05:17+00:00	19	Twitter for iPhone	Please patronize my small business 🥺🤲🏼 na perfumes I dey sell and I deliver nationwide #HorribleBosses https://t.co/1dvJqR4hkh	Abuja Nigeria 
3589	NerdBug_ng	2022-03-22 08:04:55+00:00	1	Twitter Web App	"Does your business need a #mobileapplication ? We can help 😉

Reach out to us on 08081088549

#softwaredeveloper #HorribleBosses #outsourcing"	Lagos, Nigeria
3590	KinGPhendiler	2022-03-22 08:04:50+00:00	1	Twitter for Android	"Wow #HorribleBosses is trending and with the numerous complains I've read,I can only say this prayer:

May anyone who is suffering from toxic boss find a better job offer

Anyone too with a nonsense attitude at work should be sent home and stress before finding a new job
Amen? 👀"	Accra, Ghana
3591	nanarekiya	2022-03-22 08:04:38+00:00	2	Twitter for Android	For my last baby my maternity leave was 6 week and i added the 19days annual leave this was still not up to three months. I couldn't get a sitter on time so i pleaded to add days to make it 3months behold those days were deducted from my salary #HorribleBosses	Nigeria
3592	B_Sugarr	2022-03-22 08:04:15+00:00	1	Twitter for iPhone	@FshawKingFisher Or those they will say your perfume is disturbing them (because you smell like a million bucks) or those that will get you transferred because your skin color is too bright 🤦🏾‍♀️ #HorribleBosses	The next Grand Prix
3593	sandysapphire	2022-03-22 08:04:13+00:00	1	Twitter for iPhone	Hope you people know that if domestic staff and drivers join this  #HorribleBosses conversation, some of your mentors will not be spared.	Lagos Nigeria
3594	birah_lagos	2022-03-22 08:04:11+00:00	1	Twitter for Android	"This man then will tell us
""just get the work done, I don't know how you're gonna do it, just get it done""

Even if I have to die, I should just get the work done 😩😩😩😩

#HorribleBosses"	
3595	ThorDeRoland	2022-03-22 08:03:58+00:00	5	Twitter for iPhone	"Suddenly, it appears everyone works at Daniel Emeka’s office. Everybody seems to know a thing or two about this random CEO. It feels very uncomfortable to see hundreds of people cap in one breath.
#HorribleBosses"	Abuja, Nigeria
3596	PEdafe	2022-03-22 08:03:54+00:00	5	Twitter for Android	"The stories from this #HorribleBosses trend isn't really surprising, truth is when Nigerians know you are at their mercy, they tend to misbehave
Good morning."	
3597	lady_mecyara	2022-03-22 08:03:53+00:00	3	Twitter for iPhone	In as much as you’re desperate looking for a job, always learn to Pray about it, so God can direct your footsteps to the right place. #HorribleBosses are TERRIBLE 😞!	
3598	morakkolad	2022-03-22 08:03:48+00:00	90	Twitter for Android	"We deserve better. I can't be chasing unbelievable deadlines and credits at the same time.
#HorribleBosses"	Lagos, Nigeria
3599	First_alphas	2022-03-22 08:03:47+00:00	51	Twitter for Android	"Grow your Instagram account at affordable rates and get instant engagements. It's guaranteed.

WhatsApp me 👉🏾 https://t.co/VppwrY8zyk

#HorribleBosses || Ebun || Auba || Bento || Kuda || Dybala || CEOs || Portable
https://t.co/PysJEj8lrt"	
3600	Grandpa_007	2022-03-22 08:03:45+00:00	1	Twitter for Android	"David Hundeyin doesn't hold back 

#HorribleBosses"	Lagos, Nigeria
3601	davidoladayo	2022-03-22 08:03:44+00:00	1	Twitter for Android	@_meiye Abiola job-fele inherited Chesterfield Hotel from his dad and turned himself to a demi God. This guy slaps staff for fun. He insults every single staff he's ever had. I was his accountant for 3 months between October 2019 to January 2020. #HorribleBosses #toxicworkplace	Hammersmith, London
3602	MorganRebell	2022-03-22 08:03:37+00:00	0	Twitter for Android	"#HorribleBosses, hardly addressed issues without cursing or threatening to hit you.
Bank Jobs especially as a contract staff = Modern Slavery https://t.co/AoVlLL6zcT"	NearYou
3603	E4Emmanuel_	2022-03-22 08:03:36+00:00	1	Twitter for iPhone	"Hearing peoples horrendous experiences in the hands of toxic bosses and workplaces in Nigeria, leaves me like 😭😭😭!!
LET US BE HUMANE 🤲.
#HorribleBosses"	Lagos, Nigeria
3604	OlaJohn_R	2022-03-22 08:03:33+00:00	1	Twitter Web App	I put it to y'all today that if we want our voices to be heard as it concerns #HorribleBosses and bring about the change we want from our leaders we must flood #LinkedIn with the atrocious sins of those image washers while backing our accusations with solid pieces of evidence. https://t.co/ppz3Uf1tp1	
3605	alsameerasani	2022-03-22 08:03:29+00:00	1	Twitter for Android	"#HorribleBosses is why I work hard to ensure my side hustle is good enough for you.
Please patronize a hardworking lady.
Kindly retweet as my client might be on your TL. https://t.co/1w14siPJYX"	Lagos, Nigeria
3606	Fakeyorubagirl	2022-03-22 08:03:15+00:00	0	Twitter for Android	#HorribleBosses be like breakfast e dey touch everybody	Benin City
3607	Devcron5	2022-03-22 08:03:13+00:00	13	Twitter for iPhone	"The North should not be talking about power for the next 16years. APC has zoned to the South. PDP should do same &amp; forget about Atiku 

President Buhari | | PDP to APC | #HorribleBosses | Oloye| Kiki| David Hundeyin"	Bulgaria / Nigeria 
3608	Sam_Jegede	2022-03-22 08:03:03+00:00	4	Twitter for Android	"Nothing should deprive you from good mental health. 
Resign from that toxic workplace.
You are not a coward!!
Be conscious of your mental health!!
Oluwa yo wa pẹlu e o!!! #HorribleBosses"	Lagos, Nigeria
3609	GypsyKingGK	2022-03-22 08:02:51+00:00	1	Twitter for Android	"As a Nigerian you suppose know where to pass... 😆
I come in peace o
#PresidentBuhari 
#HorribleBosses 
#BB9ja https://t.co/I3jJbjbHAr"	Lagos, Nigeria.
3610	Ugo_chiii	2022-03-22 08:02:47+00:00	1	Twitter for iPhone	This #HorribleBosses thread reminds me of my NYSC. My so called female boss once gave me list and asked me to buy her soup things from the market. I refused and told her it wasn’t part of my job as a Corp member and threatened she’d not sign my clearance form that month.	
3611	ChidinmaEliogu	2022-03-22 08:02:41+00:00	1	Twitter for iPhone	He never hesitated to tell me I was a “someone” the company helped to retain after service year. What?!! Talmbout dunking you in low self esteem. Nahh! I saw hell 🤦🏾‍♀️🤦🏾‍♀️.. he was an evil boss. The day I dropped my resignation letter, I cried in joy! #HorribleBosses	Lagos, Nigeria
3612	_theaugustrebel	2022-03-22 08:02:07+00:00	1	Twitter for iPhone	The toxicity and “dog eat dog” mentality is perpetuated and subtly encouraged in such spaces , and then employees begin to even treat themselves badly in order to gain favour from their #HorribleBosses	
3613	_theaugustrebel	2022-03-22 08:02:06+00:00	0	Twitter for iPhone	The “toxic workplace” is so prevalent and is such a norm that most people are not even aware that they are being treated badly …  #HorribleBosses	
